GeneID,Gene_name,logFC,adj.P.Val
TRINITY_DN100014_c0_g1,zdhhc14,-1.427168999,0.041162205
TRINITY_DN100416_c0_g1,,-2.153985529,0.024632283
TRINITY_DN10049_c0_g1,,-3.921776246,0.026126567
TRINITY_DN1008_c0_g2,MTMR3 KIAA0371 ZFYVE10,-1.128937815,0.006399771
TRINITY_DN10083_c1_g1,,-1.15081596,0.022960548
TRINITY_DN10086_c0_g2,,-1.772964409,0.000669843
TRINITY_DN101618_c0_g1,,-1.312423438,0.0168415
TRINITY_DN101808_c0_g1,,-1.448719906,0.047885286
TRINITY_DN101955_c0_g1,,-1.653183665,0.027913764
TRINITY_DN1022_c0_g1,,-1.012355748,0.00764144
TRINITY_DN10295_c0_g1,,-1.408571119,0.008815422
TRINITY_DN10303_c0_g2,,-2.091627682,0.020904824
TRINITY_DN10303_c2_g1,,-1.168846449,0.04117072
TRINITY_DN10349_c0_g2,Slc6a17 Ntt4 Rxt1,-1.132495772,0.002294269
TRINITY_DN10356_c0_g1,SLC22A5 OCTN2,-1.373712803,0.00667834
TRINITY_DN10394_c0_g2,,-1.196161485,0.007819051
TRINITY_DN10403_c0_g2,,-1.005573495,0.010025218
TRINITY_DN104058_c0_g1,,-3.110625049,0.04251894
TRINITY_DN10506_c2_g1,,-1.047848574,0.043346436
TRINITY_DN105077_c0_g1,Nrp1 Nrp,-3.144242336,0.01240574
TRINITY_DN105079_c0_g1,,-2.630488916,0.01854097
TRINITY_DN105118_c0_g1,,-2.747833433,0.010538287
TRINITY_DN105342_c0_g1,Pole Pole1,-1.500531365,0.000451161
TRINITY_DN10539_c1_g3,,-1.013119676,0.017604346
TRINITY_DN10545_c0_g2,,-2.256613652,0.008436709
TRINITY_DN10553_c4_g3,,-1.091876306,0.01035303
TRINITY_DN105530_c0_g1,,-1.877372668,0.007818383
TRINITY_DN10560_c1_g1,,-1.255847335,0.001936131
TRINITY_DN105635_c0_g1,,-1.313067151,0.042173157
TRINITY_DN10579_c0_g1,,-1.164320291,0.009094438
TRINITY_DN105872_c0_g1,rab18b rab18 zgc:92523,-1.132067954,0.045370738
TRINITY_DN10598_c1_g1,,-1.485848281,0.024440856
TRINITY_DN106234_c0_g1,,-2.206512919,0.015213775
TRINITY_DN106323_c0_g1,,-2.469182037,0.002116615
TRINITY_DN10635_c0_g1,,-1.123983866,0.0001576
TRINITY_DN106368_c0_g1,,-1.514611068,0.00775977
TRINITY_DN106464_c0_g1,,-1.979784568,0.012542721
TRINITY_DN10686_c0_g1,CNST C1orf71,-1.008627265,0.000595658
TRINITY_DN107009_c0_g1,,-2.618154445,0.013976088
TRINITY_DN10705_c0_g1,PRKAR2A,-1.194130831,7.78E-05
TRINITY_DN107108_c0_g1,,-2.569307902,0.017187128
TRINITY_DN10734_c0_g1,,-1.135250991,0.000197948
TRINITY_DN10746_c0_g1,ATP8B2 ATPID KIAA1137,-1.675114313,0.002062687
TRINITY_DN107510_c0_g1,,-2.539371837,0.013355661
TRINITY_DN107575_c0_g1,,-2.241581881,0.001907502
TRINITY_DN107678_c0_g1,,-1.836194273,0.034592191
TRINITY_DN10778_c1_g1,,-1.520197708,0.021748524
TRINITY_DN10792_c2_g1,,-1.421639606,0.030322995
TRINITY_DN10794_c0_g1,,-1.050515544,0.006434404
TRINITY_DN107952_c0_g1,,-1.34871803,0.021356589
TRINITY_DN107957_c0_g1,,-2.281084882,0.015808766
TRINITY_DN108227_c0_g1,,-1.067356444,0.027502481
TRINITY_DN1085_c5_g1,Ep300 P300,-1.034224512,0.002479482
TRINITY_DN108501_c0_g1,,-2.474706565,0.003862914
TRINITY_DN10872_c0_g3,UNC5D KIAA1777 UNC5H4 UNQ6012/PRO34692,-1.161383752,0.000274245
TRINITY_DN10875_c0_g1,,-1.043228668,0.002235469
TRINITY_DN108834_c0_g1,,-1.56650887,0.036358684
TRINITY_DN10913_c1_g1,CLOCK,-1.182333682,0.017102231
TRINITY_DN10917_c0_g2,,-1.709540396,0.032393028
TRINITY_DN109181_c0_g1,,-2.630006803,0.008498212
TRINITY_DN109227_c0_g1,,-1.640950864,0.034545462
TRINITY_DN109347_c0_g1,,-2.94801487,0.004272741
TRINITY_DN109409_c0_g1,,-1.660459393,0.037306983
TRINITY_DN109474_c0_g1,,-1.147269512,0.023346217
TRINITY_DN10948_c0_g1,Tcf7 Tcf-1 Tcf1,-1.029502104,0.019687292
TRINITY_DN10958_c0_g1,,-1.161054608,0.010569851
TRINITY_DN109676_c0_g1,,-1.897883034,0.029070857
TRINITY_DN109774_c0_g1,,-1.206894896,0.030631603
TRINITY_DN109942_c0_g1,,-1.563028104,0.048312155
TRINITY_DN110791_c0_g1,,-2.735555785,0.00638418
TRINITY_DN110800_c0_g1,PI16,-1.092944617,0.024056476
TRINITY_DN110921_c0_g1,,-2.924561874,0.003139562
TRINITY_DN11109_c4_g1,,-2.318061381,0.001520466
TRINITY_DN11127_c0_g1,TOM1L2,-1.108802496,0.000947393
