GeneID	Gene_me	logFC	P_Value	adj_P_Val
TRINITY_DN2722_c0_g1	BMAL2 ARNTL2 BHLHE6 CLIF MOP9 PASD9	-6.45062417	3.61E-07	0.000139764
TRINITY_DN40067_c0_g1		-6.265766635	8.41E-05	0.00258852
TRINITY_DN123189_c0_g1		-6.226539599	6.09E-08	5.22E-05
TRINITY_DN138369_c0_g1		-5.971512603	7.99E-06	0.000682126
TRINITY_DN47695_c0_g1	Srpk2	-5.950292879	3.41E-06	0.000445053
TRINITY_DN14918_c0_g1		-5.863967184	1.19E-05	0.00083623
TRINITY_DN24244_c1_g1		-5.795371525	9.83E-06	0.000752936
TRINITY_DN135785_c0_g1		-5.636162408	2.89E-05	0.001392702
TRINITY_DN39227_c0_g1		-5.488532985	7.57E-07	0.000197948
TRINITY_DN17363_c0_g1		-5.485278754	0.001457497	0.01534156
TRINITY_DN16079_c1_g1		-5.368790533	5.69E-06	0.00056381
TRINITY_DN12847_c2_g1		-5.348098281	2.14E-05	0.001183447
TRINITY_DN33166_c0_g1		-5.294521796	0.001952349	0.018663407
TRINITY_DN49260_c0_g1	ARRB1	-5.257345508	4.52E-05	0.001802867
TRINITY_DN55926_c0_g2	RASGRF1 CDC25 GNRP GRF1	-5.043157917	3.94E-05	0.001652921
TRINITY_DN43047_c0_g1		-5.018445276	4.73E-06	0.00052587
TRINITY_DN3162_c1_g2		-4.995048375	0.004084017	0.030275728
TRINITY_DN38542_c0_g1	Mov10l1 Champ	-4.988113553	1.09E-05	0.000790859
TRINITY_DN7824_c1_g1		-4.917257202	0.000165651	0.003868624
TRINITY_DN11710_c0_g1		-4.914698997	7.11E-09	1.36E-05
TRINITY_DN79809_c0_g1		-4.912974128	3.28E-06	0.000433215
TRINITY_DN114829_c0_g1	Cdk17 Pctaire2 Pctk2	-4.870164723	5.04E-07	0.000167189
TRINITY_DN15269_c1_g2		-4.822159329	9.95E-06	0.000756477
TRINITY_DN18575_c1_g1		-4.813079481	9.62E-05	0.002793173
TRINITY_DN34635_c0_g1		-4.810310618	2.32E-06	0.000356568
TRINITY_DN6095_c0_g4	SSB	-4.805731864	0.000128916	0.003311263
TRINITY_DN16185_c1_g1		-4.79231771	0.000303645	0.005663065
TRINITY_DN121818_c0_g1		-4.787789279	1.63E-05	0.001005178
TRINITY_DN26206_c0_g1		-4.765544861	1.22E-05	0.00085033
